"selected_genes"
"ENSG00000147689.16"
"ENSG00000183010.17"
"ENSG00000272620.2"
"ENSG00000116016.14"
"ENSG00000135604.10"
"ENSG00000235387.5"
"ENSG00000261371.6"
"ENSG00000175832.13"
"ENSG00000183856.11"
"ENSG00000204949.9"
"ENSG00000213853.10"
"ENSG00000182010.11"
"ENSG00000120156.22"
"ENSG00000286042.1"
"ENSG00000070778.13"
"ENSG00000122679.8"
"ENSG00000132622.11"
"ENSG00000157654.19"
"ENSG00000254726.3"
"ENSG00000143320.9"
"ENSG00000128165.9"
"ENSG00000137648.19"
"ENSG00000123485.12"
"ENSG00000169744.13"
"ENSG00000144452.15"
"ENSG00000131477.11"
"ENSG00000158402.20"
"ENSG00000151718.16"
"ENSG00000080031.10"
"ENSG00000126787.13"
"ENSG00000011426.11"
"ENSG00000154133.15"
"ENSG00000164932.13"
"ENSG00000186871.7"
"ENSG00000143228.13"
"ENSG00000227066.2"
"ENSG00000142945.13"
"ENSG00000094804.12"
"ENSG00000166923.12"
"ENSG00000196584.3"
"ENSG00000262772.2"
"ENSG00000129173.13"
"ENSG00000174371.17"
"ENSG00000228401.5"
"ENSG00000091651.9"
"ENSG00000166851.15"
"ENSG00000230316.7"
"ENSG00000164093.17"
"ENSG00000203995.10"
"ENSG00000173227.14"
"ENSG00000107742.13"
