"variable","hazard_ratio","lower_95_ci","upper_95_ci","p_value"
"age_at_index",1.00505685542901,0.991118229461561,1.01919150775142,0.479004775236457
"gendermale",1.19328245127612,0.910615634323898,1.56369268750888,0.20015127281068
